danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pop,rock,metal,folk,indie,dance,alternative,mellow,rap,neo,punk,teen,grunge,wave,Angry,Sad,Relaxed,Happy
0.491,0.841,1.0,1.1257695449378322,0.0,0.0387,0.000609,2.4e-06,0.131,0.669,92.296,-0.13731853233274166,0.75,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1.0,0.0,0.0,0.0
0.5579999999999999,0.772,0.0,0.3918007793586001,1.0,0.0429,0.0108,0.0334,0.132,0.354,121.945,0.3394811312442308,0.5,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.652,0.341,0.7272727272727273,-0.9690329567555948,1.0,0.171,0.85,0.885,0.111,0.415,166.13299999999995,-0.6716752342848776,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.456,0.59,1.0,-0.10210775594899422,1.0,0.0327,0.00182,0.00379,0.104,0.243,124.635,0.7797106754056887,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.615,0.897,0.5454545454545454,0.7525066638180348,1.0,0.055,0.00235,0.0864,0.104,0.321,138.94899999999998,0.4166039271376814,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.262,0.867,0.3636363636363637,0.8778304148008691,1.0,0.0851,0.000819,0.000752,0.0623,0.171,90.905,-0.0035806306473557727,0.5,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.266,0.964,0.6363636363636364,0.6229972472817465,1.0,0.131,0.000355,0.889,0.084,0.0697,130.065,2.7554555815597395,0.75,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
0.579,0.8240000000000001,0.5454545454545454,-0.11983528064597693,0.0,0.03,0.00206,0.00903,0.059,0.635,123.331,1.5702730399959344,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.551,0.55,0.4545454545454545,0.03134111051995698,0.0,0.0269,0.159,7.190000000000001e-05,0.105,0.249,167.916,0.7182371805002599,0.75,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0
0.474,0.902,0.0,0.5259882926899256,1.0,0.0491,0.000164,0.262,0.231,0.324,160.056,0.8623363406011576,0.5,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.6509999999999999,0.8859999999999999,0.2727272727272727,0.8120908440495593,1.0,0.0547,0.0621,0.019,0.239,0.5379999999999999,102.93,-0.31468278524133503,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.345,0.945,0.9090909090909092,0.6269366972144089,0.0,0.0769,0.00909,0.0117,0.17800000000000002,0.465,148.111,-0.07848905871356783,0.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.6890000000000001,0.7190000000000001,0.2727272727272727,-0.10333883405295108,0.0,0.0304,2.39e-05,0.679,0.314,0.959,127.982,-0.14173074285417964,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.574,0.911,0.8181818181818182,0.7502907232309121,1.0,0.0715,0.000618,0.0,0.0769,0.573,98.075,-0.9631290056953744,0.75,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
0.536,0.917,0.9090909090909092,0.9012208987760544,0.0,0.0487,5.600000000000001e-05,0.00145,0.215,0.594,90.024,-1.889197461206189,0.75,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
0.491,0.951,0.09090909090909093,1.0952388079596955,1.0,0.0465,2.3e-05,0.00354,0.0424,0.555,106.948,0.5483588128583761,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.68,0.584,1.0,0.9127930329532512,0.0,0.465,0.18,1.3699999999999998e-05,0.332,0.455,99.346,-1.98527458469548,0.75,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.693,0.899,0.0,1.019158181135146,1.0,0.259,0.0197,0.0,0.0594,0.319,86.04799999999999,1.0302316922783503,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.662,0.741,0.0,0.6936611304488847,1.0,0.0334,0.00165,0.0303,0.114,0.404,131.0,-0.7864257581083447,0.75,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0
0.333,0.907,0.0,1.2390287305018866,1.0,0.0959,0.153,0.0,0.395,0.353,187.826,-0.7412625695125015,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.326,0.88,0.18181818181818185,0.8519777746177698,1.0,0.0571,6.69e-05,5.22e-05,0.177,0.562,164.387,-0.32261484910009997,0.75,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
0.728,0.253,0.9090909090909092,-1.2162334400301833,1.0,0.0348,0.835,0.0,0.0973,0.348,116.575,-1.1301485253214951,0.5,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0
0.565,0.908,0.4545454545454545,0.544208248628491,1.0,0.112,2.97e-05,0.031,0.0682,0.195,115.002,-0.0379529073686708,0.75,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
0.14,0.99,0.7272727272727273,1.020389259239103,0.0,0.247,0.000611,0.0,0.421,0.0531,157.472,-0.9423403883321944,0.75,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
0.614,0.706,0.09090909090909093,0.010905213994268831,1.0,0.0797,0.000954,0.0271,0.123,0.6809999999999999,130.04,-0.8342494931234821,0.75,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0
0.249,0.97,0.3636363636363637,0.6618993153667913,0.0,0.21,4.3e-05,0.224,0.138,0.287,160.687,0.31922131813830185,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.623,0.635,0.7272727272727273,0.4238088100614851,1.0,0.0285,0.008140000000000001,0.757,0.139,0.894,146.708,-0.03545761227976765,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.449,0.8059999999999999,0.09090909090909093,0.6212737379362064,0.0,0.044,0.00548,1.36e-06,0.0944,0.35100000000000003,140.014,0.00038540128202673053,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.768,0.5329999999999999,0.5454545454545454,-0.7302038045879142,1.0,0.147,0.00252,0.899,0.331,0.4370000000000001,100.839,0.5186135733880072,0.75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.498,0.83,0.5454545454545454,0.7549688200259491,0.0,0.0421,0.00461,0.0,0.139,0.453,89.34200000000001,-0.08377710128607782,0.75,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
0.887,0.597,1.0,1.0371319214529198,0.0,0.226,0.0117,2.79e-05,0.306,0.843,90.021,1.2098103130141822,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.444,0.965,0.8181818181818182,0.9088535830205884,1.0,0.073,3.48e-05,0.0111,0.5770000000000001,0.518,133.852,-0.5691863591764181,0.75,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
0.322,0.978,0.8181818181818182,0.6838125056172277,1.0,0.131,8.66e-05,0.266,0.136,0.271,112.878,2.479601535738148,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.311,0.959,0.5454545454545454,0.5624282045670563,0.0,0.106,7.34e-06,0.6679999999999999,0.287,0.324,134.425,1.8972558474404828,0.75,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
0.807,0.561,1.0,0.008935489027937227,1.0,0.4370000000000001,0.154,5.479999999999999e-05,0.302,0.672,107.092,0.460230278360889,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.541,0.715,0.2727272727272727,0.17710075802847952,1.0,0.0337,0.201,0.131,0.14400000000000002,0.277,146.029,0.2178561520765007,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.6609999999999999,0.662,0.3636363636363637,-0.1616919361805188,0.0,0.0931,0.255,0.0,0.131,0.825,87.119,-0.9886933865068523,0.75,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
